AA FL -0.04930
AA LS  0.00627
AA SL  0.00627
AA LT -0.01887
AA TL -0.01887
AA LW  0.00098
AA WL  0.00098
AA LY  0.03151
AA YL  0.03151
AA LV -0.10100
AA VL -0.10100
AA KK  0.00012
AA KK  0.00012
AA KM  0.01942
AA MK  0.01942
AA KF  0.01953
AA FK  0.01953
AA KS  0.02586
AA SK  0.02586
AA KT -0.01228
AA TK -0.01228
AA KW  0.00293
AA WK  0.00293
AA KY  0.00308
AA YK  0.00308
AA KV -0.07215
AA VK -0.07215
AA MM  0.02975
AA MM  0.02975
AA MF -0.06332
AA FM -0.06332
AA MS  0.00089
AA SM  0.00089
AA MT  0.01187
AA TM  0.01187
AA MY  0.00907
AA YM  0.00907
AA MV -0.01758
AA VM -0.01758
AA FF -0.05630
AA FF -0.05630
AA FS  0.01334
AA SF  0.01334
AA FT  0.00262
AA TF  0.00262
AA FW  0.00098
AA WF  0.00098
AA FY  0.01598
AA YF  0.01598
AA FV  0.00217
AA VF  0.00217
AA SS  0.05891
AA SS  0.05891
AA ST  0.04824
AA TS  0.04824
AA SW  0.00278
AA WS  0.00278
AA SY -0.04375
AA YS -0.04375
AA SV -0.04056
AA VS -0.04056
AA TT  0.03448
AA TT  0.03448
AA TW -0.00931
AA WT -0.00931
AA TY  0.00586
AA YT  0.00586
AA TV  0.01197
AA VT  0.01197
AA WW  0.00098
AA WW  0.00098
AA WV  0.01508
AA VW  0.01508
AA YY -0.02441
AA YY -0.02441
AA YV  0.06940
AA VY  0.06940
AA VV -0.01265
AA VV -0.01265
AD AA -0.03667
AD AR -0.01024
AD AN  0.00135
AD AC  0.01340
AD AQ  0.01286
AD AE  0.00671
AD AH  0.01905
AD AI -0.02633
AD AL  0.06147
AD AK -0.01033
AD AM -0.01097
AD AF  0.02738
AD AS  0.00488
AD AT -0.05330
AD AW  0.00098
AD AY  0.01285
AD AV -0.01547
AD RA  0.03925
AD RR -0.00605
AD RN  0.00542
AD RC  0.00551
AD RQ  0.00195
AD RE  0.00098
AD RH  0.00692
AD RI  0.03110
AD RL -0.03733
AD RK  0.00488
AD RM -0.00618
AD RF -0.01553
AD RS  0.00248
AD RT -0.01051
AD RY -0.02411
AD RV -0.00276
AD NA -0.01770
AD NR  0.01074
AD NN -0.00729
AD ND -0.00419
